size,problem-num,plan length,cpu time
size-7,1,12,0.000992775
size-7,2,14,0.001000404
size-7,3,18,0.002000332
size-7,4,22,0.001000643
size-7,5,16,0.001000643
size-7,6,22,0.001000404
size-7,7,10,0.001000166
size-7,8,20,0.001999855
size-7,9,12,0.001000166
size-7,10,14,0.000999451
size-9,1,22,0.002000570297241211
size-9,2,24,0.0019989013671875
size-9,3,22,0.000993967056274414
size-9,4,18,0.0019998550415039062
size-9,5,24,0.0020003318786621094
size-9,6,16,0.0009999275207519531
size-9,7,16,0.0010006427764892578
size-9,8,22,0.0009999275207519531
size-9,9,24,0.001001596450805664
size-9,10,18,0.0010004043579101562
size-11,1,22,0.0010004043579101562
size-11,2,30,0.002000570297241211
size-11,3,32,0.0019998550415039062
size-11,4,26,0.0010006427764892578
size-11,5,22,0.0009999275207519531
size-11,6,28,0.002001047134399414
size-11,7,32,0.002000570297241211
size-11,8,32,0.002000093460083008
size-11,9,28,0.0020008087158203125
size-11,10,24,0.0020008087158203125
size-12,1,24,0.0019998550415039062
size-12,2,34,0.0020003318786621094
size-12,3,36,0.0030002593994140625
size-12,4,34,0.002000570297241211
size-12,5,30,0.002000093460083008
size-12,6,30,0.0010008811950683594
size-12,7,32,0.0020003318786621094
size-12,8,32,0.0020008087158203125
size-12,9,30,0.0020003318786621094
size-12,10,22,0.002000093460083008
size-13,1,28,0.0010006427764892578
size-13,2,32,0.0020008087158203125
size-13,3,42,0.003000497817993164
size-13,4,32,0.0010004043579101562
size-13,5,32,0.001999378204345703
size-13,6,40,0.0030007362365722656
size-13,7,28,0.0020008087158203125
size-13,8,36,0.001999378204345703
size-13,9,32,0.0029997825622558594
size-13,10,32,0.0020003318786621094
size-14,1,30,0.0020012855529785156
size-14,2,42,0.0030012130737304688
size-14,3,40,0.0030007362365722656
size-14,4,42,0.0020008087158203125
size-14,5,36,0.003000974655151367
size-14,6,38,0.002000570297241211
size-14,7,40,0.0020012855529785156
size-14,8,42,0.003000974655151367
size-14,9,36,0.002000093460083008
size-14,10,30,0.0019998550415039062
size-15,1,28,0.002000570297241211
size-15,2,50,0.0030002593994140625
size-15,3,40,0.0020003318786621094
size-15,4,36,0.0030002593994140625
size-15,5,44,0.0030002593994140625
size-15,6,34,0.002001523971557617
size-15,7,42,0.0020003318786621094
size-15,8,44,0.0030002593994140625
size-15,9,38,0.003000497817993164
size-15,10,38,0.0020003318786621094
size-16,1,32,0.0020003318786621094
size-16,2,48,0.0030007362365722656
size-16,3,44,0.0020003318786621094
size-16,4,40,0.003000974655151367
size-16,5,42,0.0030002593994140625
size-16,6,34,0.0020008087158203125
size-16,7,44,0.0030002593994140625
size-16,8,38,0.0030012130737304688
size-16,9,42,0.0030007362365722656
size-16,10,42,0.002000570297241211
size-17,1,38,0.0030007362365722656
size-17,2,44,0.002000570297241211
size-17,3,46,0.003000974655151367
size-17,4,54,0.003000497817993164
size-17,5,50,0.003000020980834961
size-17,6,38,0.0030007362365722656
size-17,7,40,0.003000974655151367
size-17,8,48,0.003000497817993164
size-17,9,40,0.0020012855529785156
size-17,10,46,0.0030002593994140625
size-18,1,44,0.003000497817993164
size-18,2,56,0.00400090217590332
size-18,3,44,0.0030002593994140625
size-18,4,54,0.0030007362365722656
size-18,5,44,0.0030007362365722656
size-18,6,40,0.002000570297241211
size-18,7,40,0.003000020980834961
size-18,8,46,0.003000020980834961
size-18,9,44,0.003000020980834961
size-18,10,50,0.004000663757324219


size-20,1,10,0.010287761688232422
size-20,2,12,0.011002302169799805
size-20,3,10,0.010001897811889648
size-20,4,15,0.014001846313476562
size-20,5,14,0.014002561569213867
size-20,6,14,0.01400303840637207
size-20,7,13,0.013002634048461914
size-20,8,15,0.013002634048461914
size-20,9,12,0.012002229690551758
size-20,10,15,0.015002965927124023
size-30,1,15,0.02600574493408203
size-30,2,11,0.019272804260253906
size-30,3,15,0.026005983352661133
size-30,4,8,0.014003276824951172
size-30,5,14,0.025005817413330078
size-30,6,14,0.024005651473999023
size-30,7,9,0.016003131866455078
size-30,8,13,0.023005247116088867
size-30,9,12,0.022005796432495117
size-30,10,9,0.01657700538635254
size-40,1,12,0.03400731086730957
size-40,2,0,0.02390456199645996
size-40,3,13,0.03701162338256836
size-40,4,15,0.04166984558105469
size-40,5,9,0.025742769241333008
size-40,6,14,0.03800010681152344
size-40,7,15,0.042461395263671875
size-40,8,12,0.03300762176513672
size-40,9,14,0.03888750076293945
size-40,10,9,0.02600383758544922
size-50,1,12,0.05001115798950195
size-50,2,11,0.04601311683654785
size-50,3,13,0.05301213264465332
size-50,4,14,0.058013200759887695
size-50,5,14,0.05901312828063965
size-50,6,16,0.06601524353027344
size-50,7,12,0.0502474308013916
size-50,8,17,0.07031440734863281
size-50,9,12,0.0500025749206543
size-50,10,14,0.059017181396484375
size-60,1,12,0.07101559638977051
size-60,2,13,0.07551026344299316
size-60,3,9,0.052011966705322266
size-60,4,17,0.0984945297241211
size-60,5,10,0.059145450592041016
size-60,6,13,0.0780179500579834
size-60,7,14,0.08171844482421875
size-60,8,12,0.07172846794128418
size-60,9,14,0.08302092552185059
size-60,10,9,0.054012298583984375
size-70,1,16,0.12518835067749023
size-70,2,12,0.09402227401733398
size-70,3,13,0.10144615173339844
size-70,4,11,0.08701944351196289
size-70,5,15,0.1180262565612793
size-70,6,13,0.10102248191833496
size-70,7,10,0.07901811599731445
size-70,8,15,0.1163933277130127
size-70,9,14,0.11102533340454102
size-70,10,15,0.1180260181427002
size-80,1,15,0.15925192832946777
size-80,2,8,0.08282709121704102
size-80,3,16,0.16467928886413574
size-80,4,15,0.15103411674499512
size-80,5,16,0.16434884071350098
size-80,6,15,0.15303564071655273
size-80,7,15,0.15203571319580078
size-80,8,12,0.12303495407104492
size-80,9,9,0.09236502647399902
size-80,10,14,0.14403343200683594
size-90,1,14,0.176039457321167
size-90,2,14,0.17803955078125
size-90,3,14,0.17703866958618164
size-90,4,14,0.17544960975646973
size-90,5,13,0.16462206840515137
size-90,6,12,0.1508617401123047
size-90,7,13,0.1650371551513672
size-90,8,13,0.1650381088256836
size-90,9,16,0.20304584503173828
size-90,10,13,0.1662769317626953
size-91,1,15,0.19388079643249512
size-91,2,15,0.1954655647277832
size-91,3,13,0.16752243041992188
size-91,4,15,0.19600415229797363
size-91,5,8,0.10555696487426758
size-91,6,16,0.20696020126342773
size-91,7,12,0.1580369472503662
size-91,8,13,0.1690378189086914
size-91,9,15,0.19457221031188965
size-91,10,15,0.1960434913635254
size-92,1,12,0.16210126876831055
size-92,2,9,0.12202739715576172
size-92,3,2,0.028006315231323242
size-92,4,14,0.18408536911010742
size-92,5,12,0.15810537338256836
size-92,6,14,0.19333457946777344
size-92,7,14,0.19182181358337402
size-92,8,14,0.18838262557983398
size-92,9,7,0.09637451171875
size-92,10,14,0.18780803680419922
